,response id,birth year,gender,industry desc,occupation desc,organization size,manage others?,household,years at job,metro or regional,rw percentage (2020),org encouraged rw?,org prepared for rw?,rw is common at org?,rw permission is attainable,rw collaboration easy?,preferred rw percentage (2020),preferred rw percentage (future),if no covid: employer encourage rw ,if no covid: employer support rw,if no covid: i would have choice about rw,productivity (remote vs office),in-person: hours  commuting ,in-person: hours  working,in-person: hours  personal/family time,in-person: hours domestic responsibilities,remote: hours commuting ,remote: hours working,remote: hours personal/family time,remote: hours domestic responsibilities
1673,167,1995,Male,Construction,Technicians and trades workers - Construction Trades Workers,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,50% - I spent about half of my time remote working,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,50% - About half of my time,50% - About half of my time,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,My productivity is about same when I work remotely,2.0,10.0,3.0,2.0,0.0,10.0,5.0,2.0
1674,168,1990,Female,Information Media and Telecommunications,Sales workers - Sales Support Workers,More than 200,No,Couple with dependent children,More than 5 years,Metro,30%,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,60%,40%,Somewhat likely,Somewhat likely,Very likely,I’m 30% less productive when working remotely,1.5,8.0,3.5,2.0,0.0,6.0,3.0,5.0
1675,169,1987,Male,Arts and Recreation,Managers - Specialist Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Regional,30%,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,60%,60%,Somewhat likely,Somewhat likely,Somewhat likely,I’m 20% more productive when working remotely,1.0,8.0,3.0,3.0,0.5,8.0,4.0,4.0
1676,170,1973,Male,Public Administration and Safety,"Professionals - Legal, Social and Welfare Professionals",More than 200,No,Single person,More than 5 years,Metro,20%,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,40%,20%,Somewhat likely,Somewhat likely,Somewhat unlikely,I’m 40% less productive when working remotely,2.0,8.0,7.0,0.0,0.0,8.0,9.0,0.0
1677,171,1974,Male,"Professional, Scientific and Technical",Managers - Specialist Managers,More than 200,No,Couple with dependent children,Between 1 and 5 years,Regional,100% - I spent all of my time remote working,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,100% - All of my time,100% - All of my time,Neither unlikely or likely,Neither unlikely or likely,Somewhat likely,I’m 20% more productive when working remotely,4.0,8.0,3.0,2.0,0.0,9.0,4.0,3.0
1678,172,1985,Male,Construction,"Managers - Chief Executives, General Managers and Legislators",More than 200,No,Single person,Between 1 and 5 years,Metro,50% - I spent about half of my time remote working,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,70%,70%,Somewhat unlikely,Neither unlikely or likely,Somewhat unlikely,My productivity is about same when I work remotely,1.0,9.0,4.0,2.0,0.5,9.5,4.0,2.0
1679,173,1992,Female,Construction,Clerical and administrative workers - Other Clerical and Administrative Workers,More than 200,No,Couple with dependent children,More than 5 years,Regional,Rarely or never,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,80%,80%,Very unlikely,Very unlikely,Very unlikely,My productivity is about same when I work remotely,3.5,10.0,1.5,2.0,0.0,9.0,6.0,2.0
1680,174,1983,Female,Financial and Insurance,Clerical and administrative workers - Other Clerical and Administrative Workers,More than 200,No,Single person,More than 5 years,Regional,80%,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,100% - All of my time,80%,Somewhat unlikely,Somewhat likely,Somewhat likely,I’m 30% more productive when working remotely,1.0,7.5,6.5,,0.0,9.0,6.0,
1681,175,1976,Female,Retail Trade,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Single person,More than 5 years,Metro,10%,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,50% - About half of my time,50% - About half of my time,Somewhat unlikely,Neither unlikely or likely,Somewhat likely,I’m 50% more productive when working remotely (or more),3.0,12.0,1.0,1.0,2.0,12.0,2.0,1.0
1682,176,2001,Female,Education and Training,Professionals - Education Professionals,Between 20 and 199,Yes,Multiple family household,Between 1 and 5 years,Metro,50% - I spent about half of my time remote working,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Less than 10% of my time,Less than 10% of my time,Somewhat unlikely,Somewhat unlikely,Somewhat likely,I’m 10% less productive when working remotely,3.0,6.0,1.0,6.0,1.0,5.0,5.0,5.0
1683,177,1996,Male,"Professional, Scientific and Technical",Community and personal service workers - Protective Service Workers,More than 200,No,Single person,Between 1 and 5 years,Metro,Less than 10% of my time,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Less than 10% of my time,Less than 10% of my time,Very unlikely,Very unlikely,Very unlikely,I’m 10% more productive when working remotely,2.0,8.0,5.0,3.0,2.0,8.0,5.0,2.0
1684,178,1987,Male,"Electricity, Gas, Water and Waste",Professionals - Arts and Media Professionals,Between 5 and 19,No,Couple with no dependent children,Between 6 and 12 months,Metro,30%,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,40%,70%,Somewhat likely,Somewhat likely,Neither unlikely or likely,I’m 10% more productive when working remotely,2.0,8.0,6.0,7.0,2.0,8.0,2.0,2.0
1685,179,1973,Male,Public Administration and Safety,"Professionals - Design, Engineering, Science and Transport Professionals",Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,80%,100% - All of my time,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,I’m 10% more productive when working remotely,2.0,8.0,3.0,3.0,1.0,8.0,4.0,3.0
1686,180,1963,Male,Other Services,"Professionals - Design, Engineering, Science and Transport Professionals",More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,Rarely or never,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,I would not have preferred to work remotely,I would prefer not to work remotely,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,My productivity is about same when I work remotely,1.0,8.0,4.0,3.0,0.0,10.0,4.0,2.0
1687,181,1997,Female,Retail Trade,Technicians and trades workers - Skilled Animal and Horticultural Workers,Between 5 and 19,No,Other one family household,Between 1 and 5 years,Metro,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,40%,40%,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,I’m 30% more productive when working remotely,3.0,7.5,2.0,3.5,0.5,8.0,3.5,4.0
1688,182,1986,Female,Public Administration and Safety,Managers - Specialist Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Regional,40%,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,40%,40%,Very unlikely,Somewhat unlikely,Very unlikely,My productivity is about same when I work remotely,1.0,8.5,2.0,6.0,0.0,8.0,3.0,6.0
1689,183,1981,Female,"Rental, Hiring and Real Estate",Sales workers - Sales Representatives and Agents,Between 20 and 199,No,Couple with dependent children,Between 6 and 12 months,Metro,90%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,80%,100% - All of my time,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,I’m 10% more productive when working remotely,2.0,8.0,3.0,5.0,1.0,9.0,4.0,5.0
1690,184,1988,Female,Retail Trade,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,70%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,50% - About half of my time,20%,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,My productivity is about same when I work remotely,1.0,10.0,4.0,2.0,0.5,10.0,4.0,2.5
1691,185,1984,Female,"Professional, Scientific and Technical","Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Single person,More than 5 years,Regional,100% - I spent all of my time remote working,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Very unlikely,Somewhat likely,Very likely,I’m 20% more productive when working remotely,6.0,8.0,2.0,1.0,1.0,8.0,6.0,1.0
1692,186,1994,Female,Other Services,Professionals - Health Professionals,Between 1 and 4,No,One parent family with dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,50% - About half of my time,I would prefer not to work remotely,Very unlikely,Very likely,Very likely,I’m 50% less productive when working remotely (or worse),1.0,12.0,3.0,2.0,1.0,12.0,3.0,3.0
1693,187,1990,Female,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",Between 5 and 19,Yes,Couple with dependent children,More than 5 years,Metro,40%,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,60%,40%,Very unlikely,Somewhat unlikely,Somewhat likely,I’m 10% more productive when working remotely,2.5,8.0,1.0,5.5,0.5,8.0,3.0,5.5
1694,188,1980,Male,Construction,Technicians and trades workers - Other Technicians and Trades Workers,More than 200,No,Group household,Between 1 and 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,I’m 30% more productive when working remotely,1.5,8.0,7.0,,0.5,8.0,6.0,2.0
1695,189,1997,Female,Administrative and Support,Technicians and trades workers - Construction Trades Workers,Between 1 and 4,No,Other one family household,Between 6 and 12 months,Regional,80%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,50% - About half of my time,60%,Somewhat likely,Somewhat likely,Neither unlikely or likely,I’m 20% less productive when working remotely,2.0,8.0,5.0,3.0,0.5,8.0,5.0,3.0
1696,190,1979,Female,Education and Training,Professionals - Education Professionals,Between 5 and 19,Yes,Single person,More than 5 years,Metro,20%,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,100% - All of my time,100% - All of my time,Very unlikely,Very unlikely,Very unlikely,I’m 50% more productive when working remotely (or more),3.0,6.0,0.0,4.0,3.0,6.0,0.0,4.0
1697,191,1988,Male,Other Services,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Group household,More than 5 years,Metro,20%,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,10%,30%,Very likely,Very likely,Somewhat likely,I’m 20% more productive when working remotely,2.0,4.0,7.0,6.0,8.0,5.0,7.0,2.0
1698,192,1960,Female,"Professional, Scientific and Technical","Professionals - Design, Engineering, Science and Transport Professionals",More than 200,No,Couple with no dependent children,More than 5 years,Metro,80%,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,80%,80%,Somewhat unlikely,Neither unlikely or likely,Neither unlikely or likely,I’m 10% more productive when working remotely,2.0,7.5,4.0,3.5,0.5,8.0,4.0,4.5
1699,193,1974,Female,Financial and Insurance,Clerical and administrative workers - Numerical Clerks,Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,20%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,100% - All of my time,100% - All of my time,Neither unlikely or likely,Somewhat likely,Somewhat likely,My productivity is about same when I work remotely,2.0,8.0,4.0,2.0,0.0,9.0,4.0,3.0
1700,194,2002,Female,Education and Training,Sales workers - Sales Support Workers,Between 5 and 19,Yes,Single person,Between 6 and 12 months,Metro,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,30%,40%,Somewhat likely,Neither unlikely or likely,Somewhat unlikely,I’m 40% more productive when working remotely,3.0,6.0,4.0,4.0,3.0,8.0,3.0,3.0
1701,195,2000,Female,"Professional, Scientific and Technical",Clerical and administrative workers - Other Clerical and Administrative Workers,More than 200,No,Other one family household,Between 1 and 5 years,Metro,50% - I spent about half of my time remote working,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,100% - All of my time,100% - All of my time,Very unlikely,Very unlikely,Very unlikely,I’m 20% more productive when working remotely,4.0,5.0,3.0,4.0,0.0,6.0,7.0,3.0
1702,196,1980,Female,Information Media and Telecommunications,Professionals - ICT Professionals,More than 200,No,Group household,Between 6 and 12 months,Metro,10%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Less than 10% of my time,100% - All of my time,Very likely,Somewhat likely,Somewhat likely,I’m 10% less productive when working remotely,2.0,8.0,4.0,2.0,0.0,8.0,4.0,4.0
1703,197,1974,Female,Retail Trade,"Managers - Hospitality, Retail and Service Managers",More than 200,Yes,Single person,More than 5 years,Metro,Rarely or never,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,100% - All of my time,I would prefer not to work remotely,Very unlikely,Very unlikely,Very unlikely,I’m 10% less productive when working remotely,3.0,7.0,3.0,6.0,4.0,9.0,3.0,4.0
1704,198,1972,Female,Information Media and Telecommunications,"Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Somewhat likely,Somewhat likely,Somewhat likely,I’m 50% more productive when working remotely (or more),2.0,8.0,3.0,3.0,0.0,7.0,5.0,3.0
1705,199,1973,Female,Retail Trade,Sales workers - Sales Assistants and Salespersons,More than 200,No,One parent family with dependent children,Between 1 and 5 years,Regional,Less than 10% of my time,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Less than 10% of my time,Less than 10% of my time,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,My productivity is about same when I work remotely,2.0,5.0,3.0,6.0,0.0,1.0,8.0,7.0
