responder_id,birth_year,gender,industry_desc,occupation_desc,organization_size,manage_others,household,years_at_job,metro_or_regional,rw_percentage_2020,org_encouraged_rw,org_prepared_for_rw,rw_is_common_at_org,rw_permission_is_attainable,rw_collaboration_easy,preferred_rw_percentage_2020,preferred_rw_percentage_future,if_no_covid_employer_encourage_rw,if_no_covid_employer_support_rw,if_no_covid_i_would_have_choice_about_rw,productivity_remote_vs_office,inperson_hours__commuting,inperson_hours__working,inperson_hours__personal_family_time,inperson_hours_domestic_responsibilities,remote_hours_commuting,remote_hours_working,remote_hours_personal_family_time,remote_hours_domestic_responsibilities,commute_time_difference
1356,1960,Female,Other,Clerical and administrative ,Between 1 and 4,No,Couple with no dependent children,More than 5 years,Regional,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Strongly agree,same productivity,0.5,4,2,2,0.5,4,2,2,0
1357,1974,Female,Financial and Insurance Services,Sales ,More than 200,No,Single person,Between 1 and 5 years,Metro,4-5 days,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,0-1 days,1-2 days,Strongly agree,Strongly agree,Strongly agree,much less productive,2,7,10,5,0,7,8,2.5,2
1358,1975,Female,Other,Clerical and administrative ,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,2-3 days,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,2-3 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,much more productive,2,6,5,2,3,6,8,6,-1
1359,1971,Male,Retail Trade,Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,2-3 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,2-3 days,3-4 days,Somewhat agree,Somewhat agree,Somewhat agree,more productive,0,10,3,1,0,10,3,1,0
1360,1956,Male,Education and Training,Professionals,Between 20 and 199,No,Couple with no dependent children,Between 6 and 12 months,Regional,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,4-5 days,4-5 days,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,more productive,1.85,4.5,0.5,2.65,0.3,4.5,1.5,2.2,1.55
1361,1964,Female,Other,Clerical and administrative ,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,1,8,3,1,0,8,2,2,1
1362,1976,Female,Other,Clerical and administrative ,More than 200,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,3-4 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,1.5,8,2,1.5,0.5,7,1,1,1
1363,1988,Female,"Professional, Scientific and Technical Services",Clerical and administrative ,Between 1 and 4,No,Couple with no dependent children,Between 1 and 5 years,Metro,3-4 days,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,4-5 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,0.3,7.5,3.5,1,0,7.5,3,2,0.3
1364,1987,Female,Other,Professionals,Between 20 and 199,Yes,Couple with dependent children,Between 6 and 12 months,Metro,2-3 days,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,1-2 days,2-3 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,much more productive,1,1,1,1,2,1,2,1,-1
1365,1969,Female,Health Care and Social Assistance,Other,I am the only employee,No,Single person,More than 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,4-5 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,much more productive,1,5,11,2,1,5,5,5,0
1366,1987,Female,Other,Professionals,Between 20 and 199,Yes,Couple with dependent children,Between 6 and 12 months,Metro,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,1-2 days,2-3 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,more productive,1,8,1,0.5,1,8,1,0.5,0
1367,1996,Female,Other Services,Professionals,More than 200,No,One  parent family with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,4-5 days,Strongly disagree,Somewhat agree,Somewhat agree,much more productive,3.5,8,3,1.5,0.5,9.5,5,2.5,3
1368,1957,Female,Other Services,Clerical and administrative ,More than 200,No,Single person,Between 1 and 5 years,Metro,0-1 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,0-1 days,0-1 days,Strongly agree,Strongly agree,Strongly agree,much more productive,1.5,8,4,2,0.75,8,6,2,0.75
1369,1978,Male,Retail Trade,Sales ,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,2-3 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,1,8,3,3,1,8,5,5,0
1370,1981,Female,Other Services,Professionals,Between 5 and 19,Yes,One  parent family with dependent children,Between 6 and 12 months,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,4-5 days,4-5 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,same productivity,2,9,1,1,0,9,3,3,2
1371,1959,Male,Other,Managers,Between 5 and 19,No response,Couple with no dependent children,Between 1 and 5 years,Metro,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,2-3 days,No response,Somewhat agree,Neither agree nor disagree,Somewhat disagree,same productivity,2.5,6,5,3,0.25,7,6,4,2.25
1372,1964,Male,Other,Managers,Between 5 and 19,No response,Couple with dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,4-5 days,No response,Somewhat agree,Somewhat agree,Somewhat agree,more productive,2,4,2,1,1,7,1,2,1
1373,1960,Female,Other,Professionals,More than 200,No response,Single person,More than 5 years,Metro,1-2 days,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,4-5 days,No response,Strongly disagree,Strongly disagree,Strongly disagree,much more productive,2,5,1,2,0,5,2,2,2
1374,1963,Female,Health Care and Social Assistance,Managers,More than 200,No response,Multiple family household,More than 5 years,Metro,2-3 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,4-5 days,No response,Strongly disagree,Strongly disagree,Strongly disagree,same productivity,2,9,4,2,1,6,5,4,1
1375,1972,Female,Retail Trade,Managers,More than 200,No response,One  parent family with dependent children,Between 1 and 5 years,Metro,1-2 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,1-2 days,No response,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,1,8,4,4,0,4,12,4,1
1376,1958,Male,Other,Managers,I am the only employee,No response,Couple with dependent children,More than 5 years,Regional,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,No response,Strongly agree,Strongly agree,Strongly agree,much more productive,1,12,9,2,1,12,9,2,0
1377,1985,Male,Other,Managers,More than 200,No response,Couple with dependent children,More than 5 years,Metro,2-3 days,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,1-2 days,No response,Neither agree nor disagree,Somewhat agree,Somewhat agree,much more productive,1,10,8,5,0.5,8,5.5,2,0.5
1378,1964,Female,Financial and Insurance Services,Managers,Between 20 and 199,No response,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,4-5 days,No response,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,much more productive,3,9,3,1,0,11,3,1,3
1379,1965,Male,Other,Clerical and administrative ,More than 200,No response,Single person,More than 5 years,Metro,0-1 days,No response,No response,No response,No response,No response,1-2 days,No response,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,2,8,6,2,0.5,8,7,2,1.5
1380,1977,Female,Other,Clerical and administrative ,Between 20 and 199,No response,One  parent family with dependent children,More than 5 years,Regional,4-5 days,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,2-3 days,No response,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,much more productive,1,6.5,0.5,0,0.25,8,0.5,1,0.75
1381,1977,Male,"Professional, Scientific and Technical Services",Professionals,Between 20 and 199,No response,Single person,Between 1 and 5 years,Metro,2-3 days,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,0-1 days,No response,Neither agree nor disagree,Somewhat disagree,Somewhat agree,same productivity,1.5,8,0.5,0,0.5,8.5,1,0,1
1382,1982,Male,Other,Managers,Between 20 and 199,No response,Couple with no dependent children,Between 1 and 5 years,Metro,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,3-4 days,No response,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,1,2,2,1,1,2,2,1,0
1383,1972,Female,Other,Clerical and administrative ,Between 5 and 19,No response,Couple with dependent children,More than 5 years,Metro,0-1 days,No response,No response,No response,No response,No response,0-1 days,No response,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,less productive,1,7.5,4,4,0,7,5,4,1
1384,1957,Female,Other,Managers,Between 5 and 19,No response,Couple with no dependent children,More than 5 years,Regional,4-5 days,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,4-5 days,No response,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,much more productive,1.5,7,5,2,0,7,5,4,1.5
1385,1994,Male,Financial and Insurance Services,Managers,Between 20 and 199,No response,Single person,Between 1 and 5 years,Metro,2-3 days,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,2-3 days,No response,Somewhat disagree,Neither agree nor disagree,Somewhat agree,same productivity,5,5,5,5,5,5,5,5,0
1386,1957,Male,"Professional, Scientific and Technical Services",Professionals,I am the only employee,No response,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,2-3 days,No response,Strongly agree,Strongly agree,Strongly disagree,same productivity,2,9,3,1,1,9,3,1,1
1387,1956,Female,Education and Training,Professionals,Between 5 and 19,No response,Couple with no dependent children,More than 5 years,Regional,0-1 days,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,0-1 days,No response,Neither agree nor disagree,Somewhat agree,Somewhat disagree,same productivity,1,4,3,8,1,3,3,8,0
1388,1961,Female,Other,Clerical and administrative ,Between 20 and 199,No response,Single person,Between 6 and 12 months,Regional,1-2 days,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,1-2 days,No response,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,more productive,0.25,7,5,2,0.25,8,6,4,0
1389,1982,Male,Retail Trade,Clerical and administrative ,More than 200,No response,Couple with dependent children,More than 5 years,Metro,2-3 days,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,2-3 days,No response,Strongly agree,Strongly agree,Somewhat agree,less productive,0.5,9,6,2,0.5,10,7,6.5,0
1390,1984,Male,"Professional, Scientific and Technical Services",Professionals,Between 20 and 199,No response,Couple with dependent children,More than 5 years,Metro,3-4 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,No response,Strongly agree,Strongly agree,Strongly agree,same productivity,1,7,3,3,0,7,6,7,1
1391,1973,Male,Other Services,Professionals,Between 20 and 199,No response,Couple with dependent children,More than 5 years,Metro,1-2 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,No response,Strongly agree,Strongly agree,Strongly agree,much more productive,1.5,8,4.5,2,1.5,8,3,4,0
1392,1971,Male,Financial and Insurance Services,Managers,Between 20 and 199,No response,Couple with no dependent children,More than 5 years,Metro,0-1 days,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,0-1 days,No response,Somewhat agree,Somewhat agree,Somewhat agree,less productive,2.5,8,4,1,0,9,6,1,2.5
1393,1979,Male,Information Media and Telecommunications,Professionals,More than 200,No response,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,No response,Strongly agree,Strongly agree,Strongly agree,much more productive,2,6,4,2,1,8,3,3,1
1394,1978,Female,Financial and Insurance Services,Professionals,More than 200,No response,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,2-3 days,No response,Strongly agree,Somewhat agree,Strongly agree,same productivity,2,8,2.5,3,0,9,3,3,2
1395,1961,Female,"Professional, Scientific and Technical Services",Clerical and administrative ,More than 200,No response,Couple with no dependent children,Between 1 and 5 years,Regional,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,No response,Strongly agree,Strongly agree,Strongly agree,much more productive,2,10,2,1,0.5,12,1,1,1.5
1396,1995,Female,Other,Professionals,More than 200,No response,Multiple family household,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,4-5 days,No response,Strongly agree,Strongly agree,Somewhat agree,same productivity,2,8,5,0,0.5,8,6,1,1.5
1397,1958,Female,Education and Training,Managers,Between 5 and 19,No response,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,No response,Strongly agree,Strongly agree,Strongly agree,same productivity,1,7,5,1,0,7,4,2,1
1398,1977,Male,Other Services,Professionals,More than 200,No response,Single person,Between 1 and 5 years,Metro,0-1 days,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,0-1 days,No response,Somewhat agree,Somewhat agree,Strongly agree,same productivity,1,7.5,2,2,0,8,4,4,1
1399,1987,Female,Financial and Insurance Services,Professionals,More than 200,No response,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,No response,Strongly agree,Somewhat disagree,Neither agree nor disagree,much more productive,3,7,2.5,2.5,0,10,3,4,3
1400,1972,Male,Education and Training,Professionals,Between 1 and 4,No response,Single person,More than 5 years,Regional,0-1 days,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,2-3 days,No response,Strongly disagree,Strongly disagree,Strongly disagree,same productivity,2,5,5,5,0.5,7,2,2,1.5
1401,1956,Female,Education and Training,Professionals,Between 20 and 199,No response,Other one family household,More than 5 years,Metro,3-4 days,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,0-1 days,No response,Neither agree nor disagree,Somewhat agree,Strongly disagree,less productive,2,6,2,2,4,4,2,2,-2
1402,1969,Male,Other,Professionals,More than 200,No response,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,4-5 days,No response,Somewhat agree,Neither agree nor disagree,Somewhat agree,same productivity,1.5,9.5,5,1,0.1,9.8,6.5,1,1.4
1403,1964,Male,Health Care and Social Assistance,Other,Between 1 and 4,No response,Single person,More than 5 years,Regional,0-1 days,No response,No response,No response,No response,No response,4-5 days,No response,Strongly disagree,Strongly disagree,Strongly disagree,more productive,0.5,7,10,0,0,7,12,2,0.5
1404,1957,Male,Other,Other,Between 1 and 4,No response,Couple with no dependent children,More than 5 years,Metro,1-2 days,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,1-2 days,No response,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,more productive,0.5,8,4,2,0.5,7,3,3,0
1405,1990,Male,Other,Professionals,Between 20 and 199,No response,Single person,Between 6 and 12 months,Metro,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,1-2 days,No response,Strongly agree,Strongly agree,Strongly agree,much more productive,3,8,4,4,3,8,4,4,0
